sport,market,game/event,player,site,odds
PGA,To Win,PGA - Sony Open in Hawaii,Russell Henley,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Russell Henley,BetRivers,+2500
PGA,To Win,PGA - Sony Open in Hawaii,Russell Henley,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Russell Henley,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Russell Henley,Sugarhouse,+2500
PGA,To Win,PGA - Sony Open in Hawaii,Russell Henley,888sports,+2500
PGA,To Win,PGA - Sony Open in Hawaii,Kyle Stanley,Best Line: BetRiver,+8000
PGA,To Win,PGA - Sony Open in Hawaii,Kyle Stanley,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Kyle Stanley,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Kyle Stanley,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Kyle Stanley,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Kyle Stanley,BetRivers,+8000
PGA,To Win,PGA - Sony Open in Hawaii,Kyle Stanley,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Kyle Stanley,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Kyle Stanley,Sugarhouse,+8000
PGA,To Win,PGA - Sony Open in Hawaii,Kyle Stanley,888sports,+8000
PGA,To Win,PGA - Sony Open in Hawaii,Harry Higgs,Best Line: BetRiver,+10000
PGA,To Win,PGA - Sony Open in Hawaii,Harry Higgs,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Harry Higgs,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Harry Higgs,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Harry Higgs,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Harry Higgs,BetRivers,+10000
PGA,To Win,PGA - Sony Open in Hawaii,Harry Higgs,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Harry Higgs,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Harry Higgs,Sugarhouse,+10000
PGA,To Win,PGA - Sony Open in Hawaii,Harry Higgs,888sports,+10000
PGA,To Win,PGA - Sony Open in Hawaii,Kevin Kisner,Best Line: 888Sports,+2000
PGA,To Win,PGA - Sony Open in Hawaii,Kevin Kisner,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Kevin Kisner,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Kevin Kisner,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Kevin Kisner,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Kevin Kisner,BetRivers,+1800
PGA,To Win,PGA - Sony Open in Hawaii,Kevin Kisner,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Kevin Kisner,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Kevin Kisner,Sugarhouse,+1800
PGA,To Win,PGA - Sony Open in Hawaii,Kevin Kisner,888sports,+2000
PGA,To Win,PGA - Sony Open in Hawaii,Brice Garnett,Best Line: 888Sports,+25000
PGA,To Win,PGA - Sony Open in Hawaii,Brice Garnett,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brice Garnett,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brice Garnett,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brice Garnett,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brice Garnett,BetRivers,+10000
PGA,To Win,PGA - Sony Open in Hawaii,Brice Garnett,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brice Garnett,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Brice Garnett,Sugarhouse,+10000
PGA,To Win,PGA - Sony Open in Hawaii,Brice Garnett,888sports,+25000
PGA,To Win,PGA - Sony Open in Hawaii,Troy Merritt,Best Line: BetRiver,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Troy Merritt,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Troy Merritt,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Troy Merritt,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Troy Merritt,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Troy Merritt,BetRivers,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Troy Merritt,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Troy Merritt,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Troy Merritt,Sugarhouse,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Troy Merritt,888sports,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Billy Horschel,Best Line: BetRiver,+2200
PGA,To Win,PGA - Sony Open in Hawaii,Billy Horschel,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Billy Horschel,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Billy Horschel,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Billy Horschel,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Billy Horschel,BetRivers,+2200
PGA,To Win,PGA - Sony Open in Hawaii,Billy Horschel,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Billy Horschel,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Billy Horschel,Sugarhouse,+2200
PGA,To Win,PGA - Sony Open in Hawaii,Billy Horschel,888sports,+2200
PGA,To Win,PGA - Sony Open in Hawaii,Chris Kirk,Best Line: BetRiver,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Chris Kirk,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Chris Kirk,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Chris Kirk,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Chris Kirk,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Chris Kirk,BetRivers,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Chris Kirk,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Chris Kirk,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Chris Kirk,Sugarhouse,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Chris Kirk,888sports,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Roger Sloan,Best Line: 888Sports,+20000
PGA,To Win,PGA - Sony Open in Hawaii,Roger Sloan,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Roger Sloan,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Roger Sloan,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Roger Sloan,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Roger Sloan,BetRivers,+10000
PGA,To Win,PGA - Sony Open in Hawaii,Roger Sloan,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Roger Sloan,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Roger Sloan,Sugarhouse,+10000
PGA,To Win,PGA - Sony Open in Hawaii,Roger Sloan,888sports,+20000
PGA,To Win,PGA - Sony Open in Hawaii,Erik Van Rooyen,Best Line: BetRiver,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Erik Van Rooyen,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Erik Van Rooyen,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Erik Van Rooyen,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Erik Van Rooyen,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Erik Van Rooyen,BetRivers,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Erik Van Rooyen,BetMGM,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Erik Van Rooyen,Bet365,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Erik Van Rooyen,Sugarhouse,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Erik Van Rooyen,888sports,+6600
PGA,To Win,PGA - Sony Open in Hawaii,Talor Gooch,Best Line: BetRiver,+5000
PGA,To Win,PGA - Sony Open in Hawaii,Talor Gooch,True Line,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Talor Gooch,DraftKings,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Talor Gooch,FanDuel,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Talor Gooch,PointsBet,No Lines
PGA,To Win,PGA - Sony Open in Hawaii,Talor Gooch,BetRivers,+5000
